2,15,2,1024,356,7.6138e-22,0.5915,0.92822
1,16,2,1024,512,2.3497e-11,0.59219,1.1682
2,16,2,1024,339,9.1371e-23,0.43691,0.64606
1,17,2,1024,512,5.3632e-12,0.42022,0.63952
2,17,2,1024,351,2.8087e-22,0.55029,0.93998
1,18,2,1024,512,1.8871e-11,0.55413,1.1005
2,18,2,1024,343,9.718e-23,0.58134,0.93456
1,19,2,1024,512,7.6283e-12,0.5812,1.1294
2,19,2,1024,341,1.0013e-22,0.57895,0.94929
1,20,2,1024,512,7.4449e-12,0.57758,1.1415
2,20,2,1024,341,6.9859e-23,0.34961,0.70839
1,21,2,1024,512,2.9779e-12,0.5435,0.69046
2,21,2,1024,338,5.4466e-23,0.30905,0.73743
1,22,2,1024,512,5.867e-12,0.31386,0.67929
2,22,2,1024,351,3.0817e-22,0.4915,1.6123
1,23,2,1024,512,1.7871e-11,0.48912,1.6559
2,23,2,1024,351,2.7411e-22,0.40067,1.0153
1,24,2,1024,512,5.3219e-12,0.40735,1.1463
2,24,2,1024,341,1.1576e-22,0.52121,0.98605
1,25,2,1024,512,9.6144e-12,0.52129,1.1018
2,25,2,1024,339,8.6949e-23,0.31554,0.67087
1,26,2,1024,512,4.0781e-12,0.31996,0.66121
2,26,2,1024,353,1.9331e-22,0.59605,0.90506
1,27,2,1024,512,1.8305e-11,0.59286,1.6718
2,27,2,1024,336,8.0706e-23,0.55771,1.0512
1,28,2,1024,512,1.254e-11,0.57171,1.2216
2,28,2,1024,343,1.0562e-22,0.46432,1.0503
1,29,2,1024,512,8.7069e-12,0.45348,1.3586
2,29,2,1024,345,8.5587e-23,0.53197,0.92361
1,30,2,1024,512,1.0476e-11,0.5516,1.2008
2,30,2,1024,338,9.2107e-23,0.53863,0.91417
1,31,2,1024,512,8.5146e-12,0.53908,1.2304
2,31,2,1024,334,7.7945e-23,0.33925,0.63557
1,32,2,1024,512,3.352e-12,0.34645,0.64621
2,32,2,1024,337,5.0788e-23,0.29737,0.62858
1,33,2,1024,512,3.4972e-12,0.32219,1.0588
2,33,2,1024,339,6.0447e-23,0.28224,0.8978
1,34,2,1024,512,5.9436e-12,0.33139,0.91607
